Which version of the robot were you interviewed by?,What is your gender?,I feel: Inspired_diff,I feel: Scared_diff,I feel: Excited_diff,I feel: Nervous_diff,I feel: Enthusiastic_diff,I feel: Distressed_diff,I feel: Alert_diff,I feel: Upset_diff,I feel: Determined_diff,I feel: Ashamed_diff,I feel: Proud_diff,I feel: Guilty_diff
Version 1,Female,0.0,-0.5,-0.5,-0.5,-1.0,0.0,-2.0,-1.0,-1.5,-0.5,-0.5,-1.0
Version 1,Male,-0.666666666666667,1.0,0.0,0.0,-0.3333333333333335,0.0,0.0,0.6666666666666665,0.6666666666666663,-0.6666666666666665,-0.33333333333333304,-0.6666666666666665
Version 2,Female,1.0,0.0,-0.5,-0.5,0.5,-1.5,-0.5,-1.0,0.5,0.0,1.5,0.0
Version 2,Male,0.0,0.0,-0.3333333333333335,0.0,-0.3333333333333335,0.0,0.6666666666666663,0.33333333333333304,0.0,0.0,0.3333333333333335,0.6666666666666667
Version 1,All,-0.3999999999999999,0.3999999999999999,-0.20000000000000018,-0.19999999999999973,-0.6000000000000001,0.0,-0.7999999999999998,0.0,-0.19999999999999973,-0.6000000000000001,-0.3999999999999999,-0.8
Version 2,All,0.3999999999999999,0.0,-0.3999999999999999,-0.19999999999999996,0.0,-0.6000000000000001,0.20000000000000018,-0.19999999999999996,0.20000000000000018,0.0,0.7999999999999998,0.3999999999999999
